model,window,threshold,TP,FP,FN,P,R,F1,ratio
warmup-v1,48,0.05,412,365,168,0.5302445302445302,0.7103448275862069,0.6072218128224024,1.339655172413793
warmup-v1,48,0.1,397,345,183,0.5350404312668463,0.6844827586206896,0.6006051437216339,1.2793103448275862
warmup-v1,48,0.15,388,320,192,0.5480225988700564,0.6689655172413793,0.6024844720496895,1.2206896551724138
warmup-v1,48,0.2,381,300,199,0.5594713656387665,0.656896551724138,0.6042823156225218,1.1741379310344828
warmup-v1,48,0.25,372,280,208,0.5705521472392638,0.6413793103448275,0.6038961038961039,1.1241379310344828
warmup-v1,48,0.3,366,265,214,0.5800316957210776,0.6310344827586207,0.6044591246903386,1.0879310344827586
warmup-v1,48,0.35,359,249,221,0.5904605263157895,0.6189655172413793,0.6043771043771043,1.0482758620689656
warmup-v1,48,0.4,343,232,237,0.5965217391304348,0.5913793103448276,0.593939393939394,0.9913793103448276
warmup-v1,48,0.45,329,220,251,0.599271402550091,0.5672413793103448,0.5828166519043402,0.946551724137931
warmup-v1,48,0.5,311,197,269,0.6122047244094488,0.5362068965517242,0.5716911764705882,0.8758620689655172
warmup-v1,48,0.55,300,179,280,0.6263048016701461,0.5172413793103449,0.56657223796034,0.8258620689655173
warmup-v1,48,0.6,286,168,294,0.6299559471365639,0.49310344827586206,0.5531914893617021,0.7827586206896552
warmup-v1,48,0.65,271,147,309,0.6483253588516746,0.4672413793103448,0.5430861723446894,0.7206896551724138
warmup-v1,48,0.7,249,130,331,0.6569920844327177,0.42931034482758623,0.5192909280500522,0.653448275862069
warmup-v1,48,0.75,216,111,364,0.6605504587155964,0.3724137931034483,0.4762954796030871,0.5637931034482758
warmup-v1,48,0.8,192,93,388,0.6736842105263158,0.3310344827586207,0.4439306358381503,0.49137931034482757
warmup-v1,48,0.85,164,70,416,0.7008547008547008,0.2827586206896552,0.40294840294840295,0.40344827586206894
warmup-v1,48,0.9,129,49,451,0.7247191011235955,0.22241379310344828,0.3403693931398417,0.30689655172413793
warmup-v1,48,0.95,86,28,494,0.7543859649122807,0.1482758620689655,0.2478386167146974,0.19655172413793104
warmup-v1,64,0.05,406,335,174,0.5479082321187584,0.7,0.6146858440575321,1.2775862068965518
warmup-v1,64,0.1,391,299,189,0.5666666666666667,0.6741379310344827,0.6157480314960629,1.1896551724137931
warmup-v1,64,0.15,380,284,200,0.572289156626506,0.6551724137931034,0.6109324758842444,1.1448275862068966
warmup-v1,64,0.2,370,271,210,0.5772230889235569,0.6379310344827587,0.6060606060606061,1.1051724137931034
warmup-v1,64,0.25,357,253,223,0.5852459016393443,0.6155172413793103,0.6,1.0517241379310345
warmup-v1,64,0.3,345,234,235,0.5958549222797928,0.5948275862068966,0.5953408110440035,0.9982758620689656
warmup-v1,64,0.35,330,216,250,0.6043956043956044,0.5689655172413793,0.5861456483126111,0.9413793103448276
warmup-v1,64,0.4,313,206,267,0.603082851637765,0.5396551724137931,0.5696087352138307,0.8948275862068965
warmup-v1,64,0.45,307,191,273,0.6164658634538153,0.5293103448275862,0.5695732838589982,0.8586206896551725
warmup-v1,64,0.5,293,170,287,0.6328293736501079,0.5051724137931034,0.5618408437200384,0.7982758620689655
warmup-v1,64,0.55,285,160,295,0.6404494382022472,0.49137931034482757,0.5560975609756098,0.7672413793103449
warmup-v1,64,0.6,271,144,309,0.653012048192771,0.4672413793103448,0.5447236180904522,0.7155172413793104
warmup-v1,64,0.65,252,123,328,0.672,0.43448275862068964,0.5277486910994764,0.646551724137931
warmup-v1,64,0.7,229,109,351,0.6775147928994083,0.39482758620689656,0.4989106753812636,0.5827586206896552
warmup-v1,64,0.75,205,92,375,0.6902356902356902,0.35344827586206895,0.467502850627138,0.5120689655172413
warmup-v1,64,0.8,181,74,399,0.7098039215686275,0.3120689655172414,0.43353293413173655,0.4396551724137931
warmup-v1,64,0.85,157,54,423,0.7440758293838863,0.2706896551724138,0.3969658659924147,0.36379310344827587
