model,window,scene,gt_area,quartile,found
adamiak-v2,24,Tri-Cities-New_01_20260611,98.59488212815499,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,141.1121623302519,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,135.77897023329174,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,185.51095057388414,Q4,1
adamiak-v2,24,Tri-Cities-New_01_20260611,193.34330023142883,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,157.74593026227316,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,143.2210022074961,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,147.55193070527173,Q3,1
adamiak-v2,24,Tri-Cities-New_01_20260611,170.72088744752443,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,154.0119677676804,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,172.49189661726908,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,179.8354022373791,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,205.67041880586936,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,166.09311767099803,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,174.30138110201935,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,170.0486803719659,Q3,1
adamiak-v2,24,Tri-Cities-New_01_20260611,178.66328572332648,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,182.2429801768905,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,158.87084066635595,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,199.14263854479222,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,183.6343036967621,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,174.75412994603508,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,150.49153566652177,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,162.94102215307848,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,166.1406275289587,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,181.70779362200986,Q4,1
adamiak-v2,24,Tri-Cities-New_01_20260611,126.70789168633284,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,195.60354173645413,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,173.3163333936618,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,201.29192077655838,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,171.21471013469204,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,178.10640857455732,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,160.67301566316368,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,199.7197500321293,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,198.54008778772624,Q4,1
adamiak-v2,24,Tri-Cities-New_01_20260611,210.22501346299921,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,135.1754447628052,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,146.6790084540838,Q3,1
adamiak-v2,24,Tri-Cities-New_01_20260611,143.39576585292323,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,146.67914666070135,Q3,1
adamiak-v2,24,Tri-Cities-New_01_20260611,128.95089802534483,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,148.15046258344185,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,109.41398019891894,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,115.26318090798475,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,84.44516009520662,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,134.60258673376546,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,117.29525306712986,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,134.81397556278424,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,106.47237712086971,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,121.1008069362401,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,160.27189052891845,Q3,1
adamiak-v2,24,Tri-Cities-New_01_20260611,131.61908831033628,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,198.63017743168086,Q4,1
adamiak-v2,24,Tri-Cities-New_01_20260611,106.44409064217984,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,113.18198004083241,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,107.02513102238069,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,121.9505035820214,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,111.07455687919807,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,164.56309782124862,Q3,1
adamiak-v2,24,Tri-Cities-New_01_20260611,174.63141233477594,Q4,1
adamiak-v2,24,Tri-Cities-New_01_20260611,218.93481041661158,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,249.26859178510975,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,135.37221484230398,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,133.73465900071082,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,147.05448469032183,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,119.76867931192821,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,105.03408267415332,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,79.86396940017603,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,78.9837893863975,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,115.83181039505321,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,119.47354921102712,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,132.16924861804506,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,124.07043386175775,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,131.85273197429663,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,129.82846222085232,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,104.05687180108501,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,132.6974017881507,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,78.13383296245783,Q1,0
adamiak-v2,24,Yakima-Toppenish_02_20260509,251.4421224025767,Q4,0
adamiak-v2,24,Yakima-Toppenish_02_20260509,185.41714099545362,Q2,0
adamiak-v2,24,Yakima-Toppenish_02_20260509,245.13786928736954,Q4,1
adamiak-v2,24,Yakima-Toppenish_02_20260509,230.60290214570705,Q4,1
adamiak-v2,24,Yakima-Toppenish_02_20260509,148.7779917780137,Q1,0
adamiak-v2,24,Yakima-Toppenish_02_20260509,176.9897903889978,Q2,0
adamiak-v2,24,Yakima-Toppenish_02_20260509,119.17138575159333,Q1,0
adamiak-v2,24,Yakima-Toppenish_02_20260509,223.32283822686375,Q3,0
adamiak-v2,24,Yakima-Toppenish_02_20260509,199.15855189680536,Q3,0
adamiak-v2,24,Yakima-Toppenish_02_20260509,219.49103305351812,Q3,0
adamiak-v2,24,Yakima-Toppenish_02_20260509,144.16596026550516,Q1,1
